zip_code,ride_id,started_at_date,ride_length
07030,C20EDB4198F8D80F,2022-11-30,2
07030,846F8F32674619CB,2022-11-13,42
07030,8C4F373896337F00,2022-11-03,2
07030,FC45AB570AA6F7A1,2022-11-28,17
07030,5FECB14BC1CBC570,2022-11-10,3
07030,8638349BF6EA71FE,2022-11-03,3
07030,BE7FE527D3E993B0,2022-11-12,8
07030,9EEE38DC14EDC98D,2022-11-19,6
07030,8194E076991D136B,2022-11-28,5
07030,D1816766831B176A,2022-11-01,19
07030,DBECD5C360262E02,2022-11-06,6
07030,54F34F6760DC69F5,2022-11-08,11
07030,4A1C5587324674A3,2022-11-28,0
07030,87AD8F01002C4D77,2022-11-05,14
07030,DFD1D1E7184E2E3D,2022-11-09,4
07030,0243E098F8367190,2022-11-06,3
07030,B8FED630D5224268,2022-11-01,3
07030,20F1D83D3EA8F23D,2022-11-07,58
07030,34847249306B1E3A,2022-11-07,1
07030,C916B337D035F52A,2022-11-26,22
07030,C20036E98AEBA9BE,2022-11-06,0
07030,B7206CA85E698E1E,2022-11-01,0
07030,2A980BC983B8499A,2022-11-01,3
07030,53F6A054A9251395,2022-11-14,1
07030,717954FF962DB920,2022-11-16,8
07030,C7E3BAC8BF297704,2022-11-12,28
07030,E4DF0F8E9A4A7926,2022-11-26,69
07030,2FA3185AA6519BAC,2022-11-03,26
07030,3899F594F0921C61,2022-11-12,41
07030,3FD856E053E95A8C,2022-11-07,36
07030,B22F55BC1E08FC10,2022-11-11,27
07030,4967832F55539C86,2022-11-07,39
07030,2727800EFFEB4DC3,2022-11-02,22
07030,3925A0677BC362A9,2022-11-07,40
07030,EA3FCC3C3EBF51CE,2022-11-07,15
07030,89D188DDB18BAAC2,2022-11-22,16
07030,EFDC6B3CAB28CB55,2022-11-12,46
07030,06990387881DCA48,2022-11-26,1
07030,E24CD253655993D8,2022-11-16,7
07030,ABF5578B7AA8D26E,2022-11-28,2
07030,6AB40DD9A6BBF591,2022-11-17,3
07030,8AC578E0EE81F1EF,2022-11-11,0
07030,9D03A43B67F738CC,2022-11-15,1
07030,1056520A2A5CAB3C,2022-11-09,2
07030,30AC6DF3C15C1A8C,2022-11-17,2
07030,FD6071842178898A,2022-11-19,26
07030,831431A5540A6E3F,2022-11-14,3
07030,E3A2010EF1988667,2022-11-29,2
07030,38C2734B0526B864,2022-11-22,1
07030,B01E34692AEC01BF,2022-11-22,2
07030,39D1561D09EA3A55,2022-11-02,44
07030,CA356B353ABDFCD3,2022-11-19,1
07030,D83DC6355B70C20F,2022-11-18,8
07030,D7EBD552000485D5,2022-11-06,23
07030,C7178BD586DC1CFF,2022-11-06,1
07030,C0E208E274B69D0F,2022-11-12,29
07030,8F8AE6B1EE58C07E,2022-11-05,93
07030,40FE424E6572EB8D,2022-11-12,10
07030,42F4EC1D22B92FBC,2022-11-16,0
07030,02AB7ECE55DB7384,2022-11-26,17
07030,8BDEE6A3B5733310,2022-11-24,23
07030,6395049E7ED1D54D,2022-11-07,41
07030,8059C6BF12C40273,2022-11-07,49
07030,32340FCBF9B888ED,2022-11-11,22
07030,27F0C5EE8D5B70D4,2022-11-27,3
07030,F50934A570F71565,2022-11-27,19
07030,A10CB9A152479ADD,2022-11-27,19
07030,3324BB6D33A07520,2022-11-07,1
07030,039B042A4F7ECF3E,2022-11-28,34
07030,0260B34153676C8D,2022-11-26,8
07030,EFC696F347FF9B6E,2022-11-23,25
07030,3383E2C695AC11E0,2022-11-07,33
07030,54D29A3E4FDF0B1A,2022-11-05,17
07030,AC5BCC40781F96FC,2022-11-05,2
07030,B3AFA7C92202EA5B,2022-11-05,119
07030,2765EEF2674A7EF2,2022-11-11,3
07030,113157C2CE3DCCB0,2022-11-12,12
07030,33A4107C64D20B79,2022-11-05,23
07030,BC17B6AFC038E9AF,2022-11-05,94
07030,E09CC4DA8A16BD12,2022-11-01,0
07030,C4A8638BA69560F9,2022-11-22,1
07030,FDF2C3D337A74E6D,2022-11-23,40
07030,D18CD7E25AA4CE82,2022-11-05,25
07030,55BE5ADABAEAC46F,2022-11-08,4
07030,182B824F8D9C9C6B,2022-11-05,39
07030,2BF5C4B662EA129B,2022-11-08,47
07030,A2AD738FCA759A52,2022-11-15,14
07030,79FAFAAD736E1DA8,2022-11-28,33
07030,A39D81DAE2516D2B,2022-11-19,11
07030,F42E7C9D20F3B2BF,2022-11-01,0
07030,407ABAD4EC364863,2022-11-24,32
07030,8AA7834867FA1011,2022-11-24,83
07030,9B503809DEC294F8,2022-11-06,36
07030,899D334AF5DBEB82,2022-11-06,1
07030,2391DE3FF81DD7FA,2022-11-05,95
07030,08D7C8024337544D,2022-11-04,3
07030,D98AAEFDBFAAF579,2022-11-03,2
07030,248551F378138BD7,2022-11-09,3
07030,2F1443FA81C8220C,2022-11-17,3
07030,A0ACACC2BC439658,2022-11-03,1
07030,4913E812D6EE36E6,2022-11-23,1
07030,6847AF021DED58F1,2022-11-30,1
07030,931F5F91102B24FB,2022-11-21,1
07030,DB4A632B54415B94,2022-11-16,4
07030,95DCB882D16FA2EC,2022-11-23,25
07030,D7855E5DADBE2B00,2022-11-06,13
07030,D08CA952394EF791,2022-11-12,0
07030,D5C0B24A154F1A40,2022-11-07,41
07030,C558544C410E0D6C,2022-11-16,0
07030,496E8F245551D422,2022-11-07,1
07030,F2A3FEB9B1DAA982,2022-11-29,12
07030,88630EC4B983E293,2022-11-06,3
07030,B970015950E037C5,2022-11-26,14
07030,9F938BFDCB6A9068,2022-11-26,28
07030,1D1FE49FDBEBB0BD,2022-11-15,18
07030,FAE7C727409D63B5,2022-11-05,11
07030,1ECF4569AEC2CB95,2022-11-11,17
07030,9406E3A76A5FE5F3,2022-11-11,4
07030,34BABB255A83B09C,2022-11-19,27
07030,6491CD79EE905780,2022-11-24,3
07030,B5FAB0D1DD0D91EE,2022-11-24,80
07030,DA7F696E7251A552,2022-11-20,1
07030,89C954AC0B6DBF45,2022-11-26,14
07030,B41A8D0E2605CDA5,2022-11-01,39
07030,8F1EB9FCB2DD42CF,2022-11-03,63
07030,2AB2542C84974549,2022-11-17,13
07030,17F4CF5E552ED1FA,2022-11-04,11
07030,6266408434924D28,2022-11-06,35
